[SRM] Código da operação,variavel_target,Total do Contrato (Bruto),Nota da Clínica,Capacidade Idade,Capital Endividamento,Serasa Score,Carater Acoes_Judiciais_Cheques_Sustados_e_PIE,Carater Percentual_de_divida_vencida_total,Carater Quantidade_de_restricoes_comerciais,Serasa Quantidade de protestos,VTM Valor total,Taxa de Juros,Total do Contrato (Bruto)/renda utilizada
1485256.0,0,6398.0,0.0,37,2691,617.0,0.0,0,0.0,0.0,5581.0,4.0,1.780684664625661
1107299.0,1,1232.0,0.0,31,0,473.0,0.0,0,0.0,0.0,780.0,4.0,1.0675909878682843
1121713.0,0,3860.0,2.0,53,2628,450.0,0.0,0,1.0,0.0,11647.0,4.0,0.6043525912008768
1101259.0,0,4974.0,0.0,41,13592,676.0,0.0,0,0.0,0.0,3154.0,4.0,2.0211296221048354
1101261.0,0,1415.0,2.0,25,0,480.0,0.0,0,0.0,0.0,1056.0,4.0,0.9758620689655172
1101375.0,0,7017.0,0.0,59,0,462.0,0.0,0,0.0,0.0,4868.0,4.0,2.2226797592651253
1127929.0,0,5649.0,2.0,61,9922,754.0,0.0,3,0.0,0.0,20286.0,4.0,0.5774302361238883
1124217.0,1,16075.0,2.0,50,66,450.0,0.0,0,1.0,1.0,12000.0,3.0,2.8010106290294474
1127923.0,0,2274.0,2.0,66,1,634.0,0.0,0,0.0,0.0,1310.0,4.0,1.322093023255814
1115271.0,1,8963.0,0.0,57,79,634.0,0.0,0,0.0,0.0,10000.0,4.0,1.097599804065638
1127922.0,0,3216.0,2.0,62,0,608.0,0.0,0,0.0,0.0,4210.0,4.0,1.0003110419906687
1111959.0,0,7089.0,2.0,39,85,518.0,0.0,0,0.0,0.0,4771.0,4.0,1.9609958506224066
1107735.0,0,9184.0,1.0,57,117,789.0,0.0,0,0.0,0.0,9699.0,4.0,1.7182413470533209
1128670.0,0,5971.0,2.0,48,33,421.0,0.0,0,2.0,2.0,3444.0,4.0,1.945584881068752
1184686.0,0,3355.0,2.0,57,7,550.0,0.0,0,1.0,1.0,2063.0,4.0,1.3281868566904196
1127930.0,1,2845.0,2.0,49,0,586.0,0.0,0,0.0,0.0,1665.0,4.0,1.693452380952381
1278958.0,0,3373.0,2.0,35,14,520.0,0.0,0,0.0,0.0,1844.0,5.0,2.0442424242424244
1112270.0,0,2326.0,0.0,32,0,525.0,0.0,0,0.0,0.0,1571.0,4.0,1.45375
1138953.0,0,2784.0,2.0,41,26,450.0,0.0,0,0.0,0.0,1629.0,4.0,1.6872727272727273
1136890.0,0,4194.0,0.0,54,32,636.0,0.0,0,0.0,0.0,2445.0,3.0,2.796
1112289.0,0,1954.0,2.0,46,0,535.0,0.0,0,0.0,0.0,1256.0,4.0,1.4691729323308271
1112961.0,1,2760.0,2.0,23,37,622.0,0.0,0,0.0,0.0,1746.0,4.0,1.5771428571428572
1113214.0,0,3093.0,0.0,53,75,450.0,0.0,21,2.0,0.0,2038.0,6.0,1.340702210663199
1113858.0,0,3379.0,0.0,19,42,518.0,0.0,0,0.0,0.0,1911.0,4.0,2.330344827586207
1114232.0,0,8944.0,0.0,57,0,391.0,0.0,0,1.0,0.0,5478.0,4.0,2.8330693696547353
1114231.0,0,5318.0,0.0,58,0,586.0,0.0,0,0.0,0.0,3040.0,4.0,2.913972602739726
1117836.0,1,1883.0,2.0,24,0,521.0,0.0,0,0.0,0.0,1044.0,4.0,1.63881636205396
1128645.0,0,1726.0,1.0,52,0,468.0,0.0,0,1.0,0.0,1166.0,4.0,1.1014677728142948
1114904.0,0,6864.0,0.0,60,16,550.0,0.0,0,0.0,1.0,12000.0,4.0,0.7492631808754503
1121714.0,0,4881.0,0.0,62,52,976.0,0.0,0,0.0,0.0,10203.0,4.0,1.2757449032932566
1128608.0,0,2321.0,1.0,53,7,550.0,0.0,0,1.0,0.0,1512.0,4.0,1.4974193548387096
1127921.0,0,5578.0,2.0,35,12,544.0,0.0,0,0.0,0.0,4548.0,4.0,1.8831870357866307
1127919.0,1,5749.0,2.0,66,0,657.0,0.0,0,0.0,0.0,3553.0,4.0,2.7907766990291263
1122646.0,0,1178.0,1.0,36,90,657.0,0.0,2,0.0,0.0,2366.0,4.0,0.6739130434782609
1122042.0,0,3586.0,1.0,41,16,794.0,0.0,0,0.0,0.0,12000.0,4.0,0.625283347863993
1129882.0,1,2365.0,2.0,21,8,542.0,0.0,0,0.0,0.0,1594.0,4.0,1.7518518518518518
1129973.0,0,3583.0,1.0,36,75,594.0,0.0,0,0.0,0.0,2140.0,3.0,2.239375
1128401.0,1,3543.0,1.0,52,34,428.0,0.0,0,0.0,0.0,2216.0,3.0,2.1472727272727274
1136996.0,0,6985.0,2.0,68,36,501.0,0.0,0,1.0,1.0,8769.0,4.0,1.260602779281718
1121677.0,0,1457.0,2.0,34,0,476.0,0.0,0,0.0,0.0,1065.0,4.0,1.2485004284490147
